team1,team2,winner,match_date,ground
Pakistan,Bangladesh,Pakistan,1999-03-16,Bangladesh
Pakistan,Sri Lanka,Pakistan,1999-03-19,India
Zimbabwe,Kenya,Zimbabwe,1999-03-19,Bangladesh
Bangladesh,Kenya,Kenya,1999-03-20,Bangladesh
Zimbabwe,Bangladesh,Zimbabwe,1999-03-21,Bangladesh
India,Sri Lanka,India,1999-03-22,India
Zimbabwe,Kenya,Zimbabwe,1999-03-23,Bangladesh
Pakistan,India,Pakistan,1999-03-24,India
Kenya,Bangladesh,Kenya,1999-03-24,Bangladesh
Bangladesh,Zimbabwe,Zimbabwe,1999-03-25,Bangladesh
New Zealand,South Africa,South Africa,1999-03-26,New Zealand
South Africa,New Zealand,South Africa,1999-03-27,New Zealand
Sri Lanka,Pakistan,Sri Lanka,1999-03-27,India
Zimbabwe,Kenya,Zimbabwe,1999-03-27,Bangladesh
India,Sri Lanka,India,1999-03-30,India
India,Pakistan,Pakistan,1999-04-01,India
Pakistan,India,Pakistan,1999-04-04,India
Pakistan,England,Pakistan,1999-04-07,United Arab Emirates
Pakistan,India,Pakistan,1999-04-08,United Arab Emirates
India,England,India,1999-04-09,United Arab Emirates
India,England,India,1999-04-11,United Arab Emirates
West Indies,Australia,West Indies,1999-04-11,West Indies
England,Pakistan,England,1999-04-12,United Arab Emirates
Pakistan,India,India,1999-04-13,United Arab Emirates
Australia,West Indies,Australia,1999-04-14,Grenada
India,Pakistan,Pakistan,1999-04-16,United Arab Emirates
Australia,West Indies,West Indies,1999-04-17,West Indies
Australia,West Indies,Australia,1999-04-18,West Indies
West Indies,Australia,Match tied,1999-04-21,Guyana
West Indies,Australia,Australia,1999-04-24,West Indies
Australia,West Indies,West Indies,1999-04-25,West Indies
Sri Lanka,England,England,1999-05-14,England
India,South Africa,South Africa,1999-05-15,England
Kenya,Zimbabwe,Zimbabwe,1999-05-15,England
Scotland,Australia,Australia,1999-05-16,England
Pakistan,West Indies,Pakistan,1999-05-16,England
Bangladesh,New Zealand,New Zealand,1999-05-17,England
Kenya,England,England,1999-05-18,England
Zimbabwe,India,Zimbabwe,1999-05-19,England
South Africa,Sri Lanka,South Africa,1999-05-19,England
Australia,New Zealand,New Zealand,1999-05-20,Wales
Pakistan,Scotland,Pakistan,1999-05-20,England
Bangladesh,West Indies,West Indies,1999-05-21,Ireland
South Africa,England,South Africa,1999-05-22,England
Zimbabwe,Sri Lanka,Sri Lanka,1999-05-22,England
India,Kenya,India,1999-05-23,England
Pakistan,Australia,Pakistan,1999-05-23,England
Bangladesh,Scotland,Bangladesh,1999-05-24,Midlothian
New Zealand,West Indies,West Indies,1999-05-24,England
Zimbabwe,England,England,1999-05-25,England
Kenya,South Africa,South Africa,1999-05-26,Netherlands
India,Sri Lanka,India,1999-05-26,England
Bangladesh,Australia,Australia,1999-05-27,England
Scotland,West Indies,West Indies,1999-05-27,England
Pakistan,New Zealand,Pakistan,1999-05-28,England
Zimbabwe,South Africa,Zimbabwe,1999-05-29,England
Sri Lanka,Kenya,Sri Lanka,1999-05-30,England
West Indies,Australia,Australia,1999-05-30,England
Bangladesh,Pakistan,Bangladesh,1999-05-31,England
Scotland,New Zealand,New Zealand,1999-05-31,Midlothian
Australia,India,Australia,1999-06-04,England
Pakistan,South Africa,South Africa,1999-06-05,England
India,Pakistan,India,1999-06-08,England
Australia,Zimbabwe,Australia,1999-06-09,England
South Africa,New Zealand,South Africa,1999-06-10,England
Pakistan,Zimbabwe,Pakistan,1999-06-11,England
India,New Zealand,New Zealand,1999-06-12,England
South Africa,Australia,Australia,1999-06-13,England
New Zealand,Pakistan,Pakistan,1999-06-16,England
Australia,South Africa,Match tied,1999-06-17,England
Pakistan,Australia,Australia,1999-06-20,England
Australia,Sri Lanka,Australia,1999-08-22,Sri Lanka
India,Australia,Australia,1999-08-23,Sri Lanka
India,Sri Lanka,Sri Lanka,1999-08-25,Sri Lanka
Australia,Sri Lanka,Australia,1999-08-26,Sri Lanka
Australia,India,Australia,1999-08-28,Sri Lanka
India,Sri Lanka,India,1999-08-29,Sri Lanka
Australia,Sri Lanka,Sri Lanka,1999-08-31,Sri Lanka
Zimbabwe,West Indies,West Indies,1999-09-02,Singapore
India,Zimbabwe,India,1999-09-04,Singapore
West Indies,India,West Indies,1999-09-05,Singapore
India,West Indies,West Indies,1999-09-08,Singapore
West Indies,India,India,1999-09-11,Canada
West Indies,India,West Indies,1999-09-12,Canada
India,West Indies,India,1999-09-14,Canada
Pakistan,West Indies,Pakistan,1999-09-16,Canada
Pakistan,West Indies,Pakistan,1999-09-18,Canada
West Indies,Pakistan,Pakistan,1999-09-19,Canada
Kenya,Zimbabwe,Zimbabwe,1999-09-25,Kenya
South Africa,India,India,1999-09-26,Kenya
Zimbabwe,South Africa,South Africa,1999-09-28,Kenya
India,Kenya,India,1999-09-29,Kenya
South Africa,Kenya,South Africa,1999-09-30,Kenya
India,Zimbabwe,India,1999-10-01,Kenya
South Africa,India,South Africa,1999-10-03,Kenya
West Indies,Bangladesh,West Indies,1999-10-08,Bangladesh
West Indies,Bangladesh,West Indies,1999-10-09,Bangladesh
Sri Lanka,West Indies,West Indies,1999-10-13,United Arab Emirates
Pakistan,West Indies,Pakistan,1999-10-14,United Arab Emirates
Pakistan,Sri Lanka,Match tied,1999-10-15,United Arab Emirates
West Indies,Sri Lanka,Sri Lanka,1999-10-17,United Arab Emirates
Pakistan,Sri Lanka,Pakistan,1999-10-18,United Arab Emirates
Pakistan,West Indies,Pakistan,1999-10-19,United Arab Emirates
Australia,Zimbabwe,Australia,1999-10-21,Zimbabwe
Pakistan,Sri Lanka,Pakistan,1999-10-22,United Arab Emirates
Zimbabwe,Australia,Australia,1999-10-23,Zimbabwe
Zimbabwe,Australia,Australia,1999-10-24,Zimbabwe
New Zealand,India,New Zealand,1999-11-05,India
India,New Zealand,India,1999-11-08,India
India,New Zealand,India,1999-11-11,India
New Zealand,India,New Zealand,1999-11-14,India
New Zealand,India,India,1999-11-17,India
Sri Lanka,Zimbabwe,Sri Lanka,1999-12-12,Zimbabwe
Sri Lanka,Zimbabwe,Sri Lanka,1999-12-15,Zimbabwe
