team1,team2,winner,match_date,ground
Zimbabwe,West Indies,West Indies,2003-11-30,Zimbabwe
Pakistan,New Zealand,Pakistan,2003-12-01,Pakistan
Pakistan,New Zealand,Pakistan,2003-12-03,Pakistan
New Zealand,Pakistan,Pakistan,2003-12-05,Pakistan
Pakistan,New Zealand,Pakistan,2003-12-07,Pakistan
Pakistan,New Zealand,New Zealand,2004-01-03,New Zealand
New Zealand,Pakistan,Pakistan,2004-01-07,New Zealand
Australia,India,Australia,2004-01-09,Australia
Pakistan,New Zealand,New Zealand,2004-01-10,New Zealand
Australia,Zimbabwe,Australia,2004-01-11,Australia
Pakistan,New Zealand,New Zealand,2004-01-14,New Zealand
Zimbabwe,India,India,2004-01-14,Australia
Australia,Zimbabwe,Australia,2004-01-16,Australia
New Zealand,Pakistan,New Zealand,2004-01-17,New Zealand
India,Australia,India,2004-01-18,Australia
India,Zimbabwe,India,2004-01-20,Australia
India,Australia,Australia,2004-01-22,Australia
India,Zimbabwe,India,2004-01-24,Australia
South Africa,West Indies,South Africa,2004-01-25,South Africa
Australia,Zimbabwe,Australia,2004-01-26,Australia
South Africa,West Indies,South Africa,2004-01-28,South Africa
India,Australia,Australia,2004-02-01,Australia
South Africa,West Indies,West Indies,2004-02-01,South Africa
Zimbabwe,India,India,2004-02-03,Australia
West Indies,South Africa,South Africa,2004-02-04,South Africa
India,Australia,Australia,2004-02-06,Australia
Australia,India,Australia,2004-02-08,Australia
New Zealand,South Africa,South Africa,2004-02-13,New Zealand
South Africa,New Zealand,New Zealand,2004-02-17,New Zealand
New Zealand,South Africa,New Zealand,2004-02-20,New Zealand
Australia,Sri Lanka,Australia,2004-02-20,Sri Lanka
Sri Lanka,Australia,Sri Lanka,2004-02-22,Sri Lanka
South Africa,New Zealand,New Zealand,2004-02-25,New Zealand
Sri Lanka,Australia,Australia,2004-02-25,Sri Lanka
Australia,Sri Lanka,Australia,2004-02-27,Sri Lanka
New Zealand,South Africa,New Zealand,2004-02-29,New Zealand
Australia,Sri Lanka,Sri Lanka,2004-02-29,Sri Lanka
South Africa,New Zealand,New Zealand,2004-03-02,New Zealand
Bangladesh,Zimbabwe,Bangladesh,2004-03-10,Zimbabwe
Zimbabwe,Bangladesh,Zimbabwe,2004-03-12,Zimbabwe
India,Pakistan,India,2004-03-13,Pakistan
Bangladesh,Zimbabwe,Zimbabwe,2004-03-14,Zimbabwe
Pakistan,India,Pakistan,2004-03-16,Pakistan
India,Pakistan,Pakistan,2004-03-19,Pakistan
Pakistan,India,India,2004-03-21,Pakistan
India,Pakistan,India,2004-03-24,Pakistan
West Indies,England,England,2004-04-18,Guyana
Zimbabwe,Sri Lanka,Sri Lanka,2004-04-20,Zimbabwe
Zimbabwe,Sri Lanka,Sri Lanka,2004-04-22,Zimbabwe
Zimbabwe,Sri Lanka,Sri Lanka,2004-04-25,Zimbabwe
Sri Lanka,Zimbabwe,Sri Lanka,2004-04-27,Zimbabwe
Sri Lanka,Zimbabwe,Sri Lanka,2004-04-29,Zimbabwe
England,West Indies,West Indies,2004-05-01,West Indies
England,West Indies,West Indies,2004-05-02,West Indies
West Indies,England,England,2004-05-05,West Indies
Bangladesh,West Indies,West Indies,2004-05-15,West Indies
West Indies,Bangladesh,West Indies,2004-05-16,West Indies
Bangladesh,West Indies,West Indies,2004-05-19,Grenada
Zimbabwe,Australia,Australia,2004-05-25,Zimbabwe
Australia,Zimbabwe,Australia,2004-05-27,Zimbabwe
Zimbabwe,Australia,Australia,2004-05-29,Zimbabwe
England,West Indies,West Indies,2004-06-27,England
England,New Zealand,New Zealand,2004-06-29,England
West Indies,England,England,2004-07-01,England
West Indies,New Zealand,New Zealand,2004-07-03,Wales
England,New Zealand,New Zealand,2004-07-04,England
England,West Indies,West Indies,2004-07-06,England
New Zealand,West Indies,New Zealand,2004-07-10,England
Bangladesh,Hong Kong,Bangladesh,2004-07-16,Sri Lanka
India,United Arab Emirates,India,2004-07-16,Sri Lanka
Pakistan,Bangladesh,Pakistan,2004-07-17,Sri Lanka
Sri Lanka,United Arab Emirates,Sri Lanka,2004-07-17,Sri Lanka
Pakistan,Hong Kong,Pakistan,2004-07-18,Sri Lanka
Sri Lanka,India,Sri Lanka,2004-07-18,Sri Lanka
Bangladesh,India,India,2004-07-21,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,2004-07-21,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,2004-07-23,Sri Lanka
Pakistan,India,Pakistan,2004-07-25,Sri Lanka
India,Sri Lanka,India,2004-07-27,Sri Lanka
Bangladesh,Pakistan,Pakistan,2004-07-29,Sri Lanka
Sri Lanka,India,Sri Lanka,2004-08-01,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,2004-08-20,Sri Lanka
Pakistan,India,Pakistan,2004-08-21,Netherlands
Sri Lanka,South Africa,Sri Lanka,2004-08-22,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,2004-08-25,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,2004-08-28,Sri Lanka
Australia,Pakistan,Australia,2004-08-28,Netherlands
Sri Lanka,South Africa,Sri Lanka,2004-08-31,Sri Lanka
India,England,England,2004-09-01,England
England,India,England,2004-09-03,England
Australia,Pakistan,Australia,2004-09-04,England
India,England,India,2004-09-05,England
England,Zimbabwe,England,2004-10-11,England
New Zealand,United States of America,New Zealand,2004-09-10,England
India,Kenya,India,2004-09-11,England
Bangladesh,South Africa,South Africa,2004-09-12,England
United States of America,Australia,Australia,2004-09-13,England
Zimbabwe,Sri Lanka,Sri Lanka,2004-09-14,England
West Indies,Bangladesh,West Indies,2004-09-15,England
New Zealand,Australia,Australia,2004-09-16,England
India,Pakistan,Pakistan,2004-09-19,England
Australia,England,England,2004-09-21,England
Pakistan,West Indies,West Indies,2004-09-22,England
England,West Indies,West Indies,2004-09-25,England
Pakistan,Zimbabwe,Pakistan,2004-09-30,Pakistan
Zimbabwe,Pakistan,Pakistan,2004-10-03,Pakistan
Sri Lanka,Pakistan,Pakistan,2004-10-06,Pakistan
Zimbabwe,Sri Lanka,Sri Lanka,2004-10-09,Pakistan
Sri Lanka,Pakistan,Pakistan,2004-10-14,Pakistan
Sri Lanka,Pakistan,Sri Lanka,2004-10-16,Pakistan
New Zealand,Bangladesh,New Zealand,2004-11-02,Bangladesh
Bangladesh,New Zealand,New Zealand,2004-11-05,Bangladesh
New Zealand,Bangladesh,New Zealand,2004-11-07,Bangladesh
India,Pakistan,Pakistan,2004-11-13,India
Zimbabwe,England,England,2004-11-28,Zimbabwe
England,Zimbabwe,England,2004-12-01,Zimbabwe
Zimbabwe,England,England,2004-12-04,Zimbabwe
Australia,New Zealand,New Zealand,2004-12-05,Australia
England,Zimbabwe,England,2004-12-05,Zimbabwe
Australia,New Zealand,Australia,2004-12-08,Australia
India,Bangladesh,India,2004-12-23,Bangladesh
Sri Lanka,New Zealand,New Zealand,2004-12-26,New Zealand
Bangladesh,India,Bangladesh,2004-12-26,Bangladesh
India,Bangladesh,India,2004-12-27,Bangladesh
ICC World XI,Asia XI,ICC World XI,2005-01-10,Australia
Australia,West Indies,Australia,2005-01-14,Australia
Pakistan,Australia,Australia,2005-01-16,Australia
West Indies,Pakistan,Pakistan,2005-01-19,Australia
Zimbabwe,Bangladesh,Zimbabwe,2005-01-20,Bangladesh
Pakistan,Australia,Australia,2005-01-23,Australia
Zimbabwe,Bangladesh,Zimbabwe,2005-01-24,Bangladesh
Bangladesh,Zimbabwe,Bangladesh,2005-01-26,Bangladesh
Australia,West Indies,Australia,2005-01-26,Australia
West Indies,Pakistan,West Indies,2005-01-28,Australia
Bangladesh,Zimbabwe,Bangladesh,2005-01-29,Bangladesh
Australia,Pakistan,Pakistan,2005-01-30,Australia
South Africa,England,England,2005-01-30,South Africa
Zimbabwe,Bangladesh,Bangladesh,2005-01-31,Bangladesh
Pakistan,West Indies,Pakistan,2005-02-01,Australia
England,South Africa,Match tied,2005-02-02,South Africa
Australia,Pakistan,Australia,2005-02-04,Australia
England,South Africa,South Africa,2005-02-04,South Africa
Australia,Pakistan,Australia,2005-02-06,Australia
South Africa,England,South Africa,2005-02-06,South Africa
South Africa,England,South Africa,2005-02-09,South Africa
England,South Africa,South Africa,2005-02-13,South Africa
Australia,New Zealand,Australia,2005-02-19,New Zealand
Australia,New Zealand,Australia,2005-02-22,New Zealand
South Africa,Zimbabwe,South Africa,2005-02-25,South Africa
Australia,New Zealand,Australia,2005-02-26,New Zealand
South Africa,Zimbabwe,South Africa,2005-02-27,South Africa
New Zealand,Australia,Australia,2005-03-01,New Zealand
Zimbabwe,South Africa,South Africa,2005-03-02,South Africa
Australia,New Zealand,Australia,2005-03-05,New Zealand
India,Pakistan,India,2005-04-02,India
India,Pakistan,India,2005-04-05,India
Pakistan,India,Pakistan,2005-04-09,India
India,Pakistan,Pakistan,2005-04-12,India
India,Pakistan,Pakistan,2005-04-15,India
Pakistan,India,Pakistan,2005-04-17,India
West Indies,South Africa,South Africa,2005-05-07,West Indies
West Indies,South Africa,South Africa,2005-05-08,West Indies
South Africa,West Indies,South Africa,2005-05-11,West Indies
West Indies,South Africa,South Africa,2005-05-14,West Indies
West Indies,South Africa,South Africa,2005-05-15,West Indies
Pakistan,West Indies,Pakistan,2005-05-18,West Indies
Pakistan,West Indies,Pakistan,2005-05-21,West Indies
Pakistan,West Indies,Pakistan,2005-05-22,West Indies
Bangladesh,England,England,2005-06-16,England
Australia,Bangladesh,Bangladesh,2005-06-18,Wales
Australia,England,England,2005-06-19,England
England,Bangladesh,England,2005-06-21,England
Australia,England,Australia,2005-06-23,England
Bangladesh,Australia,Australia,2005-06-25,England
Bangladesh,England,England,2005-06-26,England
Bangladesh,Australia,Australia,2005-06-30,England
Australia,England,Match tied,2005-07-02,England
Australia,England,England,2005-07-07,England
England,Australia,Australia,2005-07-10,England
England,Australia,Australia,2005-07-12,England
India,Sri Lanka,Sri Lanka,2005-07-30,Sri Lanka
West Indies,India,India,2005-07-31,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,2005-08-02,Sri Lanka
India,Sri Lanka,Sri Lanka,2005-08-03,Sri Lanka
West Indies,Sri Lanka,West Indies,2005-08-06,Sri Lanka
India,West Indies,India,2005-08-07,Sri Lanka
Sri Lanka,India,Sri Lanka,2005-08-09,Sri Lanka
Africa XI,Asia XI,Africa XI,2005-08-17,South Africa
Asia XI,Africa XI,Asia XI,2005-08-20,South Africa
Africa XI,Asia XI,No result,2005-08-21,South Africa
New Zealand,Zimbabwe,New Zealand,2005-08-24,Zimbabwe
New Zealand,India,New Zealand,2005-08-26,Zimbabwe
India,Zimbabwe,India,2005-08-29,Zimbabwe
Sri Lanka,Bangladesh,Sri Lanka,2005-08-31,Sri Lanka
New Zealand,Zimbabwe,New Zealand,2005-08-31,Zimbabwe
Sri Lanka,Bangladesh,Sri Lanka,2005-09-02,Sri Lanka
New Zealand,India,India,2005-09-02,Zimbabwe
Bangladesh,Sri Lanka,Sri Lanka,2005-09-04,Sri Lanka
Zimbabwe,India,India,2005-09-04,Zimbabwe
India,New Zealand,New Zealand,2005-09-06,Zimbabwe
Australia,ICC World XI,Australia,2005-10-05,Australia
Australia,ICC World XI,Australia,2005-10-07,Australia
Australia,ICC World XI,Australia,2005-10-09,Australia
New Zealand,South Africa,South Africa,2005-10-23,South Africa
India,Sri Lanka,India,2005-10-25,India
Sri Lanka,India,India,2005-10-28,India
South Africa,New Zealand,South Africa,2005-10-28,South Africa
New Zealand,South Africa,South Africa,2005-10-30,South Africa
Sri Lanka,India,India,2005-10-31,India
Sri Lanka,India,India,2005-11-03,India
New Zealand,South Africa,South Africa,2005-11-06,South Africa
India,Sri Lanka,Sri Lanka,2005-11-06,India
Sri Lanka,India,India,2005-11-09,India
Sri Lanka,India,India,2005-11-12,India
India,South Africa,South Africa,2005-11-16,India
South Africa,India,India,2005-11-19,India
India,South Africa,South Africa,2005-11-25,India
South Africa,India,India,2005-11-28,India
Australia,New Zealand,Australia,2005-12-03,New Zealand
Australia,New Zealand,Australia,2005-12-07,New Zealand
Australia,New Zealand,New Zealand,2005-12-10,New Zealand
England,Pakistan,England,2005-12-10,Pakistan
England,Pakistan,Pakistan,2005-12-12,Pakistan
Pakistan,England,Pakistan,2005-12-15,Pakistan
Pakistan,England,Pakistan,2005-12-19,Pakistan
England,Pakistan,England,2005-12-21,Pakistan
Sri Lanka,New Zealand,New Zealand,2005-12-31,New Zealand
